day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
9,8,2023,27,41,15,3.8,51.7,3.5,143.9,10.6,48.1,10.1,not fire,Chlef
3,9,2023,45,22,6,8.6,50.9,21.0,87.9,12.5,6.9,2.9,not fire,Guelma
2,6,2023,25,58,10,3.7,75.8,9.1,132.0,10.4,58.0,0.8,not fire,Chlef
19,9,2023,30,46,25,0.2,70.8,29.5,201.3,15.0,20.3,0.8,not fire,Tipaza
10,9,2023,36,31,13,7.8,81.5,13.9,271.1,3.8,35.1,0.8,fire,Ain Defla
19,6,2023,36,28,17,9.9,73.1,7.1,112.8,2.5,49.4,0.8,fire,Guelma
17,9,2023,37,88,25,5.6,63.3,37.6,286.5,14.3,48.3,12.7,not fire,Chlef
4,8,2023,43,22,6,9.6,85.6,29.6,193.3,13.6,42.0,0.7,not fire,Bejaia
14,7,2023,45,79,11,3.5,64.3,17.9,175.3,7.3,19.0,8.3,not fire,Tizi Ouzou
8,8,2023,41,89,25,5.0,77.0,33.7,205.0,4.8,48.8,12.0,not fire,Skikda
26,6,2023,29,79,8,7.4,85.4,28.0,116.7,2.6,36.9,3.0,not fire,Bouira
5,7,2023,36,58,10,5.5,68.2,11.3,47.1,9.6,53.2,1.1,not fire,El Tarf
1,6,2023,29,89,7,4.2,52.2,6.6,241.4,13.7,41.9,0.7,not fire,Ain Defla
14,7,2023,43,62,15,0.5,71.8,27.4,298.0,10.3,20.6,15.6,not fire,Bouira
22,7,2023,41,46,24,0.6,84.4,27.0,263.3,10.3,26.7,13.7,not fire,Ain Defla
31,9,2023,25,83,7,0.7,68.8,32.4,155.2,3.0,55.9,1.1,not fire,Jijel
22,8,2023,29,75,6,1.7,50.6,5.8,273.7,1.6,36.5,0.5,not fire,Bejaia
24,9,2023,33,59,19,0.7,65.8,34.7,46.9,3.5,38.0,13.7,not fire,Tizi Ouzou
30,6,2023,36,26,8,3.9,52.0,25.7,255.1,0.9,51.0,16.3,not fire,Tizi Ouzou
12,7,2023,26,70,16,9.2,62.6,18.5,294.0,5.9,11.9,12.3,not fire,Ain Defla
22,6,2023,38,73,19,7.4,59.5,35.7,198.7,7.8,37.9,7.3,not fire,El Tarf
24,7,2023,40,31,5,0.8,68.5,30.0,264.5,13.6,54.6,1.5,not fire,Tizi Ouzou
7,6,2023,28,46,10,1.6,87.2,6.1,132.1,9.0,17.6,9.7,not fire,Bouira
8,8,2023,27,77,15,2.4,53.4,17.1,51.3,12.6,47.6,3.2,not fire,Tizi Ouzou
11,7,2023,40,39,16,6.6,70.6,4.4,39.8,1.5,9.7,12.8,fire,Bouira
23,9,2023,32,31,22,4.6,72.6,34.4,115.8,11.8,47.6,9.5,not fire,Guelma
3,7,2023,29,62,15,5.7,91.3,21.6,238.2,14.2,4.3,2.1,not fire,Tipaza
4,8,2023,29,74,23,1.9,87.9,14.0,101.7,8.2,51.8,13.7,not fire,Chlef
11,6,2023,35,60,25,2.8,62.2,37.2,279.7,7.6,34.3,17.2,not fire,El Tarf
8,8,2023,39,66,18,8.6,50.6,21.8,92.0,14.0,9.3,9.2,not fire,Bejaia
11,9,2023,25,58,5,6.6,58.8,27.0,75.1,8.9,10.5,5.9,not fire,Bouira
29,8,2023,33,22,11,4.8,62.4,18.3,213.6,0.3,7.5,12.1,not fire,Bouira
22,6,2023,32,31,11,2.1,84.9,13.0,142.3,4.7,56.5,16.0,not fire,Bouira
19,7,2023,28,29,16,4.1,68.6,17.2,13.0,10.0,16.2,5.5,not fire,Jijel
5,8,2023,40,81,11,4.8,60.5,24.4,173.8,6.7,27.0,11.8,not fire,El Tarf
26,8,2023,25,71,10,2.6,80.4,31.5,206.2,8.5,49.2,1.4,not fire,Tizi Ouzou
10,6,2023,43,62,24,0.0,89.4,25.3,296.9,3.3,13.1,10.5,not fire,Bouira
19,8,2023,26,33,13,7.3,57.1,37.6,276.3,14.7,42.3,6.1,not fire,Bejaia
8,6,2023,36,63,12,0.7,57.4,27.2,244.5,3.3,34.4,11.1,not fire,Bouira
27,8,2023,28,23,19,9.2,70.1,25.2,96.7,6.6,53.1,0.5,not fire,Jijel
23,9,2023,35,84,13,6.8,60.7,28.1,130.2,6.4,41.0,2.2,not fire,Jijel
17,8,2023,28,42,8,9.8,84.6,12.0,18.0,11.7,9.7,2.0,not fire,Ain Defla
29,9,2023,33,63,22,0.6,69.2,33.0,184.4,6.1,14.8,13.1,not fire,Bouira
15,7,2023,41,24,16,8.2,70.7,23.0,38.5,14.5,9.6,11.1,fire,Ain Defla
5,6,2023,33,84,7,4.6,71.1,22.9,288.3,6.5,32.7,16.0,not fire,Skikda
30,6,2023,30,78,11,6.8,81.6,38.8,31.7,8.0,45.2,13.7,not fire,Bouira
10,8,2023,40,34,15,3.2,72.9,10.3,136.3,6.1,37.5,3.0,fire,Skikda
3,6,2023,36,22,6,1.4,89.8,5.6,295.2,5.9,42.6,16.3,not fire,Guelma
5,8,2023,38,67,23,9.2,69.9,36.3,72.1,10.4,43.6,14.4,not fire,Bejaia
1,8,2023,38,37,22,4.8,72.2,17.3,221.7,0.1,15.9,0.4,fire,Bejaia
19,7,2023,25,57,13,1.9,74.6,5.0,290.6,0.4,17.7,11.8,not fire,Ain Defla
22,8,2023,34,87,17,4.1,63.6,3.6,30.0,14.3,34.0,15.4,not fire,Bejaia
12,7,2023,27,42,14,1.3,59.8,12.2,231.8,1.6,15.5,1.5,not fire,Ain Defla
9,6,2023,45,86,8,9.8,50.6,9.3,184.3,4.2,41.2,10.9,not fire,Tizi Ouzou
13,8,2023,40,72,20,9.4,67.6,10.6,130.0,2.6,54.0,12.4,not fire,Guelma
8,9,2023,42,67,7,0.4,64.0,25.6,173.1,6.5,49.1,5.6,not fire,El Tarf
